asin,name,brand,price_usd,weight,rating,review_count,stock,url,scraped_at
B00H3TCGBW,Folgers Coffee Singles (19 per box),Folgers,146.87,N/A,4.6,2665,In Stock,https://www.amazon.com/Folgers-Coffee-Singles-19-box/dp/B00H3TCGBW/ref=sr_1_64,2026-07-21 08:13:50
B0170DZNOW,PERCOL Smooth Colombian Instant Coffee Easy Drinking Flavor 100% Arabica Beans Freeze-Dried - Light Strength 3.5 oz 1 Pk,PERCOL,N/A,N/A,3.8,22,In Stock,https://www.amazon.com/PERCOL-Colombian-Instant-Drinking-Freeze-Dried/dp/B0170DZNOW/ref=sr_1_65,2026-07-21 08:14:48
B0013BHG84,DAVIDOFF Rich Aroma Instant Coffee - Vivid and Spicy - Strong Body and Pleasant Acidity - 100% Arabica Beans - 10/12 Intensity - 1 x 3.52 oz,N/A,311.54,N/A,4.6,10342,In Stock,https://www.amazon.com/Davidoff-Aroma-Instant-Coffee-3-5oz/dp/B0013BHG84/ref=sr_1_66,2026-07-21 08:15:23
B0G1J3MSZC,Trung Nguyen G7 3-in-1 Instant Premium Vietnamese Coffee 100 Servings Sticks x16g Beverage Vietnam Origin (1 Pack),OMURA,634.45,N/A,5,27,In Stock,https://www.amazon.com/Instant-Premium-Vietnamese-Servings-Beverage/dp/B0G1J3MSZC/ref=sr_1_67,2026-07-21 08:15:48
B09Q3PK73N,"Maxwell House Dark Silk Instant Coffee, 8 oz",MAXWELL HOUSE,98.74,N/A,4.6,399,In Stock,https://www.amazon.com/Maxwell-House-Dark-Instant-Coffee/dp/B09Q3PK73N/ref=sr_1_68,2026-07-21 08:16:26
B00MXXAFSE,Douwe Egberts Pure Indulgence Instant Coffee (190g),Douwe Egberts,289.29,N/A,4.3,87,In Stock,https://www.amazon.com/Douwe-Egberts-Indulgence-Instant-Coffee/dp/B00MXXAFSE/ref=sr_1_70,2026-07-21 08:17:55
B013LDGD76,OLD Town (3 in 1)- Taste Premix White Hazelnut Coffee-don't Need Creamer & Sugar-make Your Life Easier-(35g - 40g) /Sticks (Hazelnut),OLDTOWN WHITE,N/A,N/A,4.4,409,In Stock,https://www.amazon.com/Town-Hazelnut-Coffee-dont-Creamer-Sugar-make/dp/B013LDGD76/ref=sr_1_73,2026-07-21 08:21:26
B006WAJKL2,"Nescafe classic medium roast, 3 in 1, (28 x 16.5g)",Nescafe,555.68,N/A,4.3,2481,In Stock,https://www.amazon.com/Nescafe-classic-CASE-28-18g/dp/B006WAJKL2/ref=sr_1_74,2026-07-21 08:22:08
B08QXPG7ZH,"NESCAFE Gold Espresso Instant Coffee, 200g/7.1 oz., {Imported from Canada}",Nescafe,N/A,N/A,4.7,991,In Stock,https://www.amazon.com/NESCAFE-Espresso-Instant-Coffee-Canada/dp/B08QXPG7ZH/ref=sr_1_75,2026-07-21 08:23:24
B07FBH2CC5,"King Coffee Espresso, Vietnamese Instant Coffee Arabica, Medium Dark Roast, 15 Packets x 2.5g, Pack of 1",TNI King Coffee,753.80,N/A,4.5,86,In Stock,https://www.amazon.com/King-Coffee-Espresso-Instant-Vietnamese/dp/B07FBH2CC5/ref=sr_1_76,2026-07-21 08:24:35
B00FLSPKK6,"Nescafe Taster's Choice Classic, Instant Coffee, 100g {Imported from Canada}",Nescafe,289.29,N/A,4.4,1528,In Stock,https://www.amazon.com/NESCAF%C3%89-Tasters-Choice-Classic-Instant/dp/B00FLSPKK6/ref=sr_1_77,2026-07-21 08:25:08
B0019MJQIU,Maxwell House Original Medium Roast Instant Coffee (2 oz Jar),MAXWELL HOUSE,140.11,N/A,3.9,210,In Stock,https://www.amazon.com/Maxwell-House-Instant-Original-Coffee/dp/B0019MJQIU/ref=sr_1_86,2026-07-21 08:34:03
B0058W0ZIC,Colcafé Classic Instant Coffee Jar | Unique Taste & Aroma | Ready in Seconds | 100% Colombian Coffee | 6 Ounce (Pack of 1),COLCAFE,407.92,N/A,4.5,593,In Stock,https://www.amazon.com/Colombian-Colcaf%C3%A9-Classic-Instant-coffee/dp/B0058W0ZIC/ref=sr_1_87,2026-07-21 08:34:35
B09HCSNLQZ,"Folgers Classic Roast Ground Coffee, Medium Roast, 25.9 Oz. Canister",Folgers,106.,N/A,4.7,28843,Out of Stock,https://www.amazon.com/Folgers-Classic-Ground-Coffee-Canister/dp/B09HCSNLQZ/ref=sr_1_88,2026-07-21 08:36:00
B0B178DY2C,"Nescafé Nescafe Sweet & Creamy Iced Coffee, Instant Coffee Sachets, 16x16g {Imported from Canada}",Nescafe,241.65,N/A,3.9,1412,In Stock,https://www.amazon.com/Nescafe-Creamy-Coffee-Instant-Sachets/dp/B0B178DY2C/ref=sr_1_89,2026-07-21 08:35:24
B0013BHEMW,Davidoff Café Fine Aroma Instant Coffee 3.5oz/100g,N/A,N/A,N/A,4.3,501,Out of Stock,https://www.amazon.com/Davidoff-Aroma-Instant-Coffee-3-5oz/dp/B0013BHEMW/ref=sr_1_90,2026-07-21 08:36:27
B00649B4EM,"Bru Instant Coffee Refill, 200g Pack",bru,329.51,N/A,4.4,9581,In Stock,https://www.amazon.com/Instant-Coffee-Refill-200g-Pack/dp/B00649B4EM/ref=sr_1_91,2026-07-21 08:36:50
B003CGJAIM,"ORGANO Gourmet Black Coffee, 100% Certified Organic Ganoderma Lucidum (30 Sachets)",ORGANO,560.44,N/A,4.7,2713,In Stock,https://www.amazon.com/Organo-Gold-Gourmet-Ganoderma-Sachets/dp/B003CGJAIM/ref=sr_1_92,2026-07-21 08:37:23
B00KFVWRCI,Bio Coffee- NEW! - First Organic Instant Non-dairy Alkaline Coffee (12 Sachet Box),Bio Coffee,296.54,N/A,4.7,3733,In Stock,https://www.amazon.com/Bio-Coffee-NEW-Non-dairy-Alkaline/dp/B00KFVWRCI/ref=sr_1_93,2026-07-21 08:37:53
